LSOA21CD,dpi_normalized,Pct of population speaks no or little English normalized,Pct umemp or econo inactive normalized,Pct household deprivation normalized,score
E01033938,8.77,1.96,5.42,7.193500739,23.34350074
E01000601,8.41,2.22,6.25,7.976366322,24.85636632
E01000602,7.78,2.34,5.66,8.020679468,23.80067947
E01000603,8.93,3.04,5.34,7.76957164,25.07957164
E01000604,7.78,2.07,5.46,8.301329394,23.61132939
E01000605,7.66,1.59,6.49,8.892171344,24.63217134
E01000606,8.25,2.75,4.65,6.720827179,22.37082718
E01000607,8.69,2.66,4.51,6.46971935,22.32971935
E01000608,9.05,2.65,4.02,6.853766617,22.57376662
E01000609,8.77,2.93,4.07,6.11521418,21.88521418
E01000610,8.73,2.41,4.57,6.543574594,22.25357459
E01000611,9.05,2.32,3.6,5.716395864,20.68639586
E01000612,8.1,2.75,4.3,6.58788774,21.73788774
E01000613,9.05,2.68,4.24,6.440177253,22.41017725
E01000615,8.89,1.47,5.66,4.948301329,20.96830133
E01000616,8.53,3.04,3.48,6.558345643,21.60834564
E01000617,7.74,1.95,4.12,6.307237814,20.11723781
E01000618,8.33,2.7,4.31,5.583456425,20.92345643
E01000619,8.49,2.81,4.54,5.967503693,21.80750369
E01000620,9.17,2.76,4.7,6.912850812,23.54285081
E01000621,8.61,3.39,4.04,6.986706056,23.02670606
E01000622,8.13,2.98,4.21,7.991137371,23.31113737
E01000623,8.49,2.29,3.97,4.711964549,19.46196455
E01000624,8.57,1.9,4.64,5.982274742,21.09227474
E01000625,8.13,2.6,5.25,6.558345643,22.53834564
E01000626,8.21,2.49,4.74,7.740029542,23.18002954
E01000627,8.65,3.5,4.77,7.370753323,24.29075332
E01000628,8.06,3.19,5.03,7.872968981,24.15296898
E01000629,8.65,2.57,4.28,5.937961595,21.4379616
E01000630,8.61,2.94,4.02,6.735598227,22.30559823
E01000631,8.77,3.53,4.32,6.35155096,22.97155096
E01000632,9.09,5.14,4.56,7.799113737,26.58911374
E01000633,9.13,5.45,4.29,7.976366322,26.84636632
E01000634,8.73,2.92,4.1,7.474150665,23.22415067
E01033935,9.4,3.7,3.5,7.17872969,23.77872969
E01000636,9.52,2.33,3.74,6.868537666,22.45853767
E01000637,7.98,2.58,4.28,6.174298375,21.01429838
E01000638,8.53,3.31,4.26,6.986706056,23.08670606
E01000639,9.09,2.48,3.09,5.657311669,20.31731167
E01000640,8.45,4.36,4.51,7.090103397,24.4101034
E01000641,7.78,2.83,4.58,6.868537666,22.05853767
E01000642,8.13,2.11,3.46,6.144756278,19.84475628
E01000643,7.74,1.86,5.31,7.53323486,22.44323486
E01000644,8.21,1.7,4.31,5.657311669,19.87731167
E01000645,9.09,0.28,4,1.491875923,14.86187592
E01000646,8.06,0.5,4.08,3.41211226,16.05211226
